,District,Active Cases,Recovered,Confirmed,Deaths
0,Nicobars,0,0,0,0
1,North and Middle Andaman,0,1,1,0
2,South Andaman,19,32,51,0
4,Foreign Evacuees,33,0,33,0
5,Anantapur,247,155337,156673,1089
6,Chittoor,2778,229637,234198,1783
7,East Godavari,3065,277087,281384,1232
8,Guntur,1605,167210,169978,1163
9,Krishna,3111,106860,111221,1250
10,Kurnool,216,122465,123525,844
11,Other State,0,63,66,3
12,Prakasam,1470,128985,131478,1023
13,S.P.S. Nellore,2591,133121,136685,973
14,Srikakulam,557,119891,121217,769
15,Visakhapatnam,544,151762,153395,1089
16,Vizianagaram,225,80813,81707,669
17,West Godavari,1422,168861,171354,1071
18,Y.S.R. Kadapa,586,110128,111341,627
19,Anjaw,48,934,985,3
20,Changlang,71,3530,3621,20
21,East Kameng,35,1031,1066,0
22,East Siang,102,2817,2936,17
23,Kamle,60,400,460,0
24,Kra Daadi,7,249,256,0
25,Kurung Kumey,2,504,507,1
26,Lepa Rada,41,719,762,2
27,Lohit,144,2486,2656,26
28,Longding,14,712,728,2
29,Lower Dibang Valley,89,2049,2147,9
30,Lower Siang,50,645,703,8
31,Lower Subansiri,333,2266,2610,11
32,Namsai,48,1895,1958,15
33,Pakke Kessang,9,381,390,0
34,Papum Pare,844,16182,17113,87
35,Shi Yomi,25,196,221,0
36,Siang,27,363,393,3
37,Tawang,115,2151,2283,17
38,Tirap,20,982,1005,3
39,Upper Dibang Valley,26,262,290,2
40,Upper Siang,76,804,881,1
41,Upper Subansiri,80,1817,1903,6
42,West Kameng,171,3010,3194,13
43,West Siang,51,1669,1725,5
44,Airport Quarantine,8,2088,2098,2
45,Baksa,5510,447,6013,56
46,Barpeta,10368,1024,11543,151
47,Biswanath,8010,379,8439,50
48,Bongaigaon,5321,834,6222,67
49,Cachar,22029,1498,23713,186
50,Charaideo,3312,105,3464,47
51,Chirang,2353,219,2606,34
52,Darrang,8315,1730,10144,99
53,Dhemaji,6769,440,7248,39
54,Dhubri,6590,1215,7856,51
55,Dibrugarh,30197,2409,32973,367
56,Dima Hasao,2880,199,3091,12
57,Goalpara,38,568,10532,9926
58,Golaghat,19914,1656,21779,209
59,Hailakandi,4929,1116,6079,34
60,Hojai,5795,1160,7058,103
61,Jorhat,21134,1752,23152,266
62,Kamrup,28948,2074,31268,246
63,Kamrup Metropolitan,86012,15370,102179,797
64,Karbi Anglong,6131,552,6787,104
65,Karimganj,6649,955,7690,86
66,Kokrajhar,4898,353,5311,60
67,Lakhimpur,12699,1135,13925,91
68,Majuli,1686,80,1774,8
69,Morigaon,12264,557,12888,67
70,Nagaon,20934,2506,23628,188
71,Nalbari,8686,828,9612,98
72,Other State,0,63,66,3
73,Sivasagar,9278,473,9911,160
74,Sonitpur,17905,1727,19836,204
75,South Salmara Mankachar,1776,47,1839,16
76,Tinsukia,17346,1798,19387,243
77,Udalguri,4684,666,5418,68
78,West Karbi Anglong,1193,37,1233,3
80,Araria,8,14834,14958,116
81,Arwal,8,7295,7377,74
82,Aurangabad,687,149600,154499,4212
83,Banka,0,7266,7378,112
84,Begusarai,7,26717,27181,457
85,Bhagalpur,12,25504,25825,309
86,Bhojpur,9,10004,10172,159
87,Buxar,0,9066,9248,182
88,Darbhanga,27,10504,10897,366
89,East Champaran,22,18548,19000,430
90,Gaya,6,33652,33937,279
91,Gopalganj,1,16576,16671,94
92,Jamui,4,9300,9410,106
93,Jehanabad,0,10661,10770,109
94,Kaimur,0,4836,4983,147
95,Katihar,14,18011,18119,94
96,Khagaria,0,9966,10054,88
97,Kishanganj,15,10022,10103,66
98,Lakhisarai,6,7660,7768,102
99,Madhepura,8,12400,12519,111
100,Madhubani,4,17991,18332,337
101,Munger,3,14940,15101,158
102,Muzaffarpur,12,30746,31379,621
103,Nalanda,14,22939,23421,468
104,Nawada,2,10164,10344,178
105,Patna,38,144463,146831,2330
106,Purnia,3,24223,24406,180
107,Rohtas,7,13682,13958,269
108,Saharsa,3,17454,17591,134
109,Samastipur,19,19804,19977,154
110,Saran,1,23011,23267,255
111,Sheikhpura,2,7613,7690,75
112,Sheohar,1,4358,4395,36
113,Sitamarhi,3,9039,9169,127
114,Siwan,0,15023,15193,170
115,Supaul,1,17073,17202,128
116,Vaishali,12,19601,19806,193
117,West Champaran,4,20523,20885,358
118,Chandigarh,35,61151,61997,811
119,Other State,0,63,66,3
120,Balod,23,26837,27256,396
121,Baloda Bazar,124,42411,43005,470
122,Balrampur,3,7346,7487,138
123,Bametara,6,19701,19943,236
124,Bastar,154,20585,20927,188
125,Bijapur,50,8151,8255,54
126,Bilaspur,152,12852,13084,80
127,Dakshin Bastar Dantewada,30,10692,10746,24
128,Dhamtari,33,26611,27188,544
129,Durg,127,94723,96644,1794
130,Gariaband,22,19452,19668,194
131,Janjgir Champa,102,56497,57429,830
132,Jashpur,92,26620,26924,212
133,Kabeerdham,9,22492,22768,267
134,Kondagaon,24,12939,13062,99
135,Korba,66,53928,54569,575
136,Koriya,41,26702,26918,175
137,Mahasamund,33,30922,31319,364
138,Mungeli,14,23710,23891,167
139,Narayanpur,30,3959,4003,14
140,Raigarh,60,61425,62463,978
141,Raipur,121,154536,157796,3139
142,Rajnandgaon,12,55485,56011,514
143,Sukma,48,7899,7967,20
144,Surajpur,40,28751,29015,224
145,Surguja,34,33359,33638,245
146,Uttar Bastar Kanker,118,23190,23530,222
147,Gaurela Pendra Marwahi,13,11846,12005,146
148,Central Delhi,184,0,184,0
149,East Delhi,38,0,38,0
150,New Delhi,37,0,37,0
151,North Delhi,60,0,60,0
152,North East Delhi,25,0,25,0
153,North West Delhi,31,0,32,1
154,Shahdara,48,0,48,0
155,South Delhi,70,0,70,0
156,South East Delhi,130,0,130,0
157,South West Delhi,42,0,42,0
158,West Delhi,122,0,122,0
160,Other State,0,63,66,3
161,Dadra and Nagar Haveli,3,5894,5905,8
162,Daman,1,3506,3534,27
163,Diu,3,1215,1218,0
164,Other State,0,63,66,3
165,North Goa,1639,964,2668,65
166,South Goa,1978,1407,3511,126
168,Other State,0,63,66,3
169,Ahmedabad,61,234550,238022,3411
170,Amreli,4,10700,10806,102
171,Anand,5,9569,9623,49
172,Aravalli,0,5105,5183,78
173,Banaskantha,0,13469,13631,162
174,Bharuch,3,11304,11425,118
175,Bhavnagar,4,21109,21413,300
176,Botad,1,2175,2218,42
177,Chhota Udaipur,0,3357,3395,38
178,Dahod,2,9903,9943,38
179,Dang,0,846,864,18
180,Devbhumi Dwarka,0,4090,4172,82
181,Gandhinagar,7,20528,20740,205
182,Gir Somnath,2,8486,8555,67
183,Jamnagar,7,34465,34949,477
184,Junagadh,4,20194,20469,271
185,Kheda,5,10369,10422,48
186,Kutch,1,12441,12587,145
187,Mahisagar,1,8119,8192,72
188,Mehsana,5,24232,24414,177
189,Morbi,0,6415,6502,87
190,Narmada,0,5937,5952,15
191,Navsari,3,7128,7155,24
192,Panchmahal,0,11700,11770,70
193,Patan,2,11493,11624,129
194,Porbandar,0,3455,3474,19
195,Rajkot,14,57183,57920,723
196,Sabarkantha,0,9157,9314,157
197,Surat,17,141519,143490,1954
198,Surendranagar,0,7985,8121,136
199,Tapi,2,4413,4438,23
200,Vadodara,43,77081,77912,788
201,Valsad,1,6194,6244,49
202,Bilaspur,152,12852,13084,80
203,Chamba,652,12000,12805,153
204,Hamirpur,1,5127,5229,101
205,Kangra,385,45357,46790,1048
206,Kinnaur,27,3272,3337,38
207,Kullu,152,8984,9294,158
208,Lahaul and Spiti,53,2740,2811,18
209,Mandi,437,27809,28651,405
210,Shimla,324,25116,26052,612
211,Sirmaur,17,15161,15388,210
212,Solan,39,22106,22459,314
213,Una,56,13195,13498,247
214,Foreign Evacuees,33,0,33,0
215,Ambala,12,29583,30104,509
216,Bhiwani,49,21740,22394,605
217,Charkhi Dadri,4,4932,5068,132
218,Faridabad,24,99061,99801,716
219,Fatehabad,13,17382,17858,463
220,Gurugram,74,179978,180972,920
221,Hisar,103,52834,53976,1039
222,Italians,0,2,2,0
223,Jhajjar,22,18500,18827,305
224,Jind,16,20664,21202,522
225,Kaithal,20,10860,11218,338
226,Karnal,40,39413,39999,546
227,Kurukshetra,7,21751,22114,356
228,Mahendragarh,1,21533,21687,153
229,Nuh,1,4889,5010,120
230,Palwal,3,10825,10981,153
231,Panchkula,25,30257,30656,374
232,Panipat,91,30479,31135,565
233,Rewari,20,20075,20304,209
234,Rohtak,88,25289,25876,499
235,Sirsa,51,28738,29256,467
236,Sonipat,2,46870,47126,254
237,Yamunanagar,4,24154,24566,408
238,Bokaro,4,19123,19413,286
239,Chatra,1,5971,6025,53
240,Deoghar,11,10677,10801,113
241,Dhanbad,24,16100,16503,379
242,Dumka,1,4583,4631,47
243,East Singhbhum,11,50726,51780,1043
244,Garhwa,1,6789,6884,94
245,Giridih,2,8827,8959,130
246,Godda,3,5746,5836,87
247,Gumla,1,9854,9893,38
248,Hazaribagh,3,19392,19581,186
249,Jamtara,3,5492,5555,60
250,Khunti,10,7677,7783,96
251,Koderma,18,12717,12871,136
252,Latehar,4,7802,7863,57
253,Lohardaga,6,6595,6689,88
254,Pakur,7,2531,2550,12
255,Palamu,0,12179,12289,110
256,Ramgarh,11,13689,13896,196
257,Ranchi,62,83793,85440,1585
258,Sahibganj,3,4771,4816,42
259,Saraikela-Kharsawan,4,7133,7204,67
260,Simdega,5,7094,7191,92
261,West Singhbhum,1,12867,13001,133
262,Anantnag,24,16117,16346,205
263,Bandipora,57,9374,9531,100
264,Baramulla,88,23366,23736,282
265,Budgam,73,22705,22984,206
266,Doda,111,7135,7374,128
267,Ganderbal,69,9842,9989,78
268,Jammu,136,51601,52877,1140
269,Kathua,4,9113,9268,151
270,Kishtwar,50,4601,4695,44
271,Kulgam,32,11163,11312,117
272,Kupwara,47,13925,14137,165
273,Mirpur,0,0,0,0
274,Muzaffarabad,0,0,0,0
275,Pulwama,47,14999,15240,194
276,Punch,31,6157,6285,97
277,Rajouri,71,10707,11006,228
278,Ramban,18,5895,5980,67
279,Reasi,68,6225,6336,43
280,Samba,6,7002,7127,119
281,Shopiyan,4,5526,5588,58
282,Srinagar,309,70576,71719,834
283,Udhampur,52,11166,11355,137
284,Bagalkote,39,34755,35121,327
